"date","infiltration_inches","infil_cm","cumulative_infil_cm"
2025-07-17,0.54,1.3716,8.763
2025-07-18,1.19,3.0226,11.7856
2025-07-19,0.05,0.127,11.9126
2025-07-20,0.02,0.0508,11.9634
2025-07-21,0.01,0.0254,11.9888
2025-07-22,1.29,3.2766,15.2654
2025-07-23,0.07,0.1778,15.4432
2025-07-24,0.03,0.0762,15.5194
2025-07-25,0.01,0.0254,15.5448
2025-07-26,0,0,15.5448
2025-07-27,1.27,3.2258,18.7706
2025-07-28,0.4,1.016,19.7866
2025-07-29,0.05,0.127,19.9136
2025-07-30,0.02,0.0508,19.9644
2025-07-31,0,0,19.9644
2025-08-01,0.01,0.0254,19.9898
2025-08-02,0,0,19.9898
2025-08-03,0,0,19.9898
2025-08-04,0,0,19.9898
2025-08-05,0,0,19.9898
2025-08-06,0,0,19.9898
2025-08-07,0,0,19.9898
2025-08-08,0,0,19.9898
2025-08-09,0,0,19.9898
2025-08-10,0.01,0.0254,20.0152
2025-08-11,0.01,0.0254,20.0406
2025-08-12,0,0,20.0406
2025-08-13,0,0,20.0406
2025-08-14,0,0,20.0406
2025-08-15,0,0,20.0406
2025-08-16,0,0,20.0406
2025-08-17,0.01,0.0254,20.066
2025-08-18,0,0,20.066
2025-08-19,0,0,20.066
2025-08-20,0,0,20.066
2025-08-21,0,0,20.066
2025-08-22,0,0,20.066
2025-08-23,0.29,0.7366,20.8026
2025-08-24,0.04,0.1016,20.9042
2025-08-25,0.02,0.0508,20.955
2025-08-26,0.01,0.0254,20.9804
2025-08-27,0,0,20.9804
2025-08-28,1.68,4.2672,25.2476
2025-08-29,0.1,0.254,25.5016
2025-08-30,0.05,0.127,25.6286
2025-08-31,0.02,0.0508,25.6794
2025-09-01,0,0,25.6794
2025-09-02,0,0,25.6794
2025-09-03,0,0,25.6794
2025-09-04,0.01,0.0254,25.7048
2025-09-05,0,0,25.7048
2025-09-06,0,0,25.7048
2025-09-07,0,0,25.7048
2025-09-08,0,0,25.7048
2025-09-09,0,0,25.7048
2025-09-10,0,0,25.7048
2025-09-11,0,0,25.7048
2025-09-12,0,0,25.7048
2025-09-13,0,0,25.7048
2025-09-14,0,0,25.7048
2025-09-15,0,0,25.7048
2025-09-16,0,0,25.7048
2025-09-17,0,0,25.7048
2025-09-18,0,0,25.7048
2025-09-19,0,0,25.7048
2025-09-20,0,0,25.7048
2025-09-21,0,0,25.7048
2025-09-22,0,0,25.7048
2025-09-23,0,0,25.7048
2025-09-24,0,0,25.7048
2025-09-25,0,0,25.7048
2025-09-26,0,0,25.7048
2025-09-27,0,0,25.7048
2025-09-28,0,0,25.7048
2025-09-29,0,0,25.7048
2025-09-30,0,0,25.7048
2025-10-01,0,0,25.7048
2025-10-02,0,0,25.7048
2025-10-03,0,0,25.7048
2025-10-04,0,0,25.7048
2025-10-05,0,0,25.7048
2025-10-06,0,0,25.7048
2025-10-07,0,0,25.7048
2025-10-08,0,0,25.7048
2025-10-09,0,0,25.7048
2025-10-10,0,0,25.7048
2025-10-11,0,0,25.7048
2025-10-12,0,0,25.7048
2025-10-13,0,0,25.7048
2025-10-14,0,0,25.7048
2025-10-15,0,0,25.7048
2025-10-16,0.01,0.0254,25.7302
