"","date","infiltration_inches","infil_cm","cumulative_infil_cm"
"145",2025-09-24,0,0,25.7048
"146",2025-09-25,0,0,25.7048
"147",2025-09-26,0,0,25.7048
"148",2025-09-27,0,0,25.7048
"149",2025-09-28,0,0,25.7048
"150",2025-09-29,0,0,25.7048
"151",2025-09-30,0,0,25.7048
"152",2025-10-01,0,0,25.7048
"153",2025-10-02,0,0,25.7048
"154",2025-10-03,0,0,25.7048
"155",2025-10-04,0,0,25.7048
"156",2025-10-05,0,0,25.7048
"157",2025-10-06,0,0,25.7048
"158",2025-10-07,0,0,25.7048
"159",2025-10-08,0,0,25.7048
"160",2025-10-09,0,0,25.7048
"161",2025-10-10,0,0,25.7048
"162",2025-10-11,0,0,25.7048
"163",2025-10-12,0,0,25.7048
"164",2025-10-13,0,0,25.7048
"165",2025-10-14,0,0,25.7048
"166",2025-10-15,0,0,25.7048
"167",2025-10-16,0.01,0.0254,25.7302
