"Date","VWC_6in","VWC_12in.x","VWC_12in.y","VWC_36in"
2024-06-18,0.3110619175,0.3409496125,0.3034849375,0.28301998
2024-06-19,0.30794902,0.33975682,0.303507565,0.2844843025
2024-06-20,0.3006015475,0.3352539475,0.3031099675,0.2843356075
2024-06-21,0.2945826325,0.3324287425,0.3021014275,0.283453135
2024-06-22,0.2914406425,0.3306250075,0.3013708825,0.2825512675
2024-06-23,0.2861587375,0.32765434,0.300740545,0.2820599275
2024-06-24,0.279729295,0.32164189,0.2999873725,0.2813293825
2024-06-25,0.273626335,0.3156456025,0.2991533875,0.28017538
2024-06-26,0.268105225,0.3104218825,0.2983291,0.2791506775
2024-06-27,0.26340517,0.30814297,0.2974854175,0.2784847825
2024-06-28,0.265596805,0.31235815,0.2969035675,0.2776443325
2024-06-29,0.265558015,0.3102085375,0.2965092025,0.2769202525
2024-06-30,0.26304313,0.3067239025,0.2958239125,0.276626095
2024-07-01,0.2622123775,0.3054955525,0.295465105,0.2767780225
2024-07-02,0.25815559,0.301477555,0.2944080775,0.2769073225
2024-07-03,0.2544220525,0.30619054,0.29332519,0.2771012725
2024-07-04,0.2577515275,0.315183355,0.2937615775,0.27907633
2024-07-05,0.2900248075,0.333569815,0.2973237925,0.2849756425
2024-07-06,0.2927013175,0.3315753625,0.3001489975,0.2852859625
2024-07-07,0.303352405,0.3361008625,0.304645405,0.2872319275
2024-07-08,0.29619565,0.332335,0.306003055,0.28689898
2024-07-09,0.30244084,0.33674413,0.3089090725,0.2885378575
2024-07-10,0.2987073025,0.336401485,0.3087215875,0.2881822825
2024-07-11,0.30081166,0.3361784425,0.3121997575,0.29230372
2024-07-12,0.29911783,0.335186065,0.3116179075,0.2919578425
2024-07-13,0.2945567725,0.3328166425,0.311291425,0.291974005
2024-07-14,0.2885572525,0.3282846775,0.3102537925,0.291482665
2024-07-15,0.283478995,0.3221558575,0.309338995,0.2903609875
2024-07-16,0.27773161,0.31343134,0.3079328575,0.288883735
2024-07-17,0.2718387625,0.306145285,0.307011595,0.288237235
2024-07-18,0.26528002,0.3000520225,0.306352165,0.287810545
2024-07-19,0.258808555,0.29507074,0.30553111,0.2874517375
2024-07-20,0.25277671,0.2894882125,0.304658335,0.2872707175
2024-07-21,0.24636343,0.28361476,0.303391195,0.2865531025
2024-07-22,0.24085525,0.27960646,0.3017911075,0.285418495
2024-07-23,0.236064685,0.2765905375,0.299641495,0.28439056
2024-07-24,0.23030437,0.2725369825,0.2961924175,0.28309756
2024-07-25,0.2237262325,0.2687678875,0.29157964,0.28141666
2024-07-26,0.2155027525,0.264924445,0.28530859,0.2788338925
2024-07-27,0.2111712025,0.26282332,0.280711975,0.27747301
2024-07-28,0.2079128425,0.2613008125,0.2768814625,0.27695581
2024-07-29,0.20546584,0.2600142775,0.2731899475,0.2763319375
2024-07-30,0.2029057,0.2586760225,0.26966329,0.274660735
2024-07-31,0.20297035,0.2587018825,0.269346505,0.2745411325
2024-08-01,0.2008983175,0.2578420375,0.265932985,0.2714896525
2024-08-02,0.1986097075,0.256662175,0.26149153,0.267238915
2024-08-03,0.1965279775,0.2555792875,0.25705654,0.263010805
2024-08-04,0.1951380025,0.254761465,0.2541763825,0.259610215
2024-08-05,0.195277,0.254593375,0.2544220525,0.261640225
2024-08-06,0.19479859,0.2545513525,0.253080565,0.2586436975
2024-08-07,0.19435897,0.2544026575,0.2519136325,0.2561158825
2024-08-08,0.19460464,0.2545966075,0.2521657675,0.2577579925
2024-08-09,0.1946595925,0.2546418625,0.2518877725,0.2557926325
2024-08-10,0.1943492725,0.2544543775,0.2511442975,0.2526118525
2024-08-11,0.1941359275,0.2543056825,0.25021657,0.2493244
2024-08-12,0.1936898425,0.2540212225,0.248787805,0.2448279925
2024-08-13,0.1930498075,0.253610695,0.2470325575,0.240021265
2024-08-14,0.19267807,0.25335856,0.245529445,0.237603355
2024-08-15,0.19234189,0.2531872375,0.2446211125,0.2366045125
2024-08-16,0.1916339725,0.25275085,0.242995165,0.232302055
2024-08-17,0.19082908,0.2522692075,0.2416957,0.2293184575
2024-08-18,0.18992398,0.2517326125,0.24032512,0.22658053
2024-08-19,0.189232225,0.25119925,0.2390094925,0.22431778
2024-08-20,0.1886923975,0.2507240725,0.2380203475,0.2230086175
2024-08-21,0.188210755,0.2504008225,0.2372122225,0.2222392825
2024-08-22,0.187861645,0.2500775725,0.236504305,0.2222716075
2024-08-23,0.18760951,0.2498448325,0.2359709425,0.2223944425
2024-08-24,0.18754486,0.24967351,0.23559274,0.2226271825
2024-08-25,0.187383235,0.24935026,0.235301815,0.22317994
2024-08-26,0.1872894925,0.249033475,0.23508847,0.2235387475
2024-08-27,0.1872507025,0.248852455,0.23495917,0.2235710725
2024-08-28,0.1890091825,0.2495733025,0.2348460325,0.2239460425
2024-08-29,0.1940195575,0.249770485,0.23476522,0.2251614625
2024-08-30,0.192606955,0.249822205,0.234810475,0.2255428975
2024-08-31,0.1919507575,0.2498125075,0.234784615,0.225811195
2024-09-01,0.191688925,0.2496896725,0.2347619875,0.2264738575
2024-09-02,0.1916016475,0.2497995775,0.234707035,0.2269199425
2024-09-03,0.1918214575,0.250158385,0.2347619875,0.2270492425
2024-09-04,0.1918990375,0.2501939425,0.2349753325,0.227854135
2024-09-05,0.19176004,0.2499224125,0.2351110975,0.228629935
2024-09-06,0.1917374125,0.249860995,0.2352080725,0.2292861325
2024-09-07,0.19182469,0.2499612025,0.235353535,0.2300166775
2024-09-08,0.1919248975,0.250080805,0.2355571825,0.2306308525
2024-09-09,0.19210915,0.250287685,0.2358545725,0.231164215
2024-09-10,0.192244915,0.250365265,0.2362230775,0.231435745
2024-09-11,0.1919766175,0.25004848,0.23644612,0.23193355
2024-09-12,0.1922287525,0.2561094175,0.236749975,0.2325057025
2024-09-13,0.1932566875,0.2738881675,0.2367273475,0.2328742075
2024-09-14,0.2012248,0.2852019175,0.2367790675,0.2333590825
2024-09-15,0.2086627825,0.288702715,0.2368566475,0.2338310275
2024-09-16,0.2121538825,0.2901217825,0.2370635275,0.2342641825
2024-09-17,0.2139252925,0.290642215,0.2373350575,0.23461006
2024-09-18,0.2148821125,0.2906907025,0.2375484025,0.235017355
2024-09-19,0.2154478,0.2906454475,0.237823165,0.2350076575
2024-09-20,0.21578398,0.29054524,0.23806237,0.2352339325
2024-09-21,0.2160846025,0.29050645,0.23842441,0.23547637
2024-09-22,0.21624946,0.2902575475,0.2385828025,0.2357446675
2024-09-23,0.2163108775,0.28983409,0.2388931225,0.2360032675
2024-09-24,0.2163238075,0.28960135,0.23922607,0.2362036825
2024-09-25,0.2164013875,0.2894494225,0.2394976,0.2363523775
2024-09-26,0.216359365,0.289181125,0.23980792,0.2363976325
2024-09-27,0.2163755275,0.28882555,0.2401731925,0.236478445
2024-09-28,0.216411085,0.2885023,0.2404059325,0.2365786525
2024-09-29,0.2164078525,0.2879560075,0.24076474,0.2367014875
2024-09-30,0.2165630125,0.2875099225,0.2411688025,0.2367984625
2024-10-01,0.2166211975,0.2870638375,0.241482355,0.2369600875
2024-10-02,0.2165759425,0.28647229,0.2417635825,0.2371928275
2024-10-03,0.216630895,0.2862233875,0.24204481,0.237370615
2024-10-04,0.216798985,0.28583872,0.2423842225,0.2375548675
2024-10-05,0.21681407,0.28533445,0.24261373,0.23770895
